s,n,time_ms,key_comps
1,1000,0.979,8708.02
5,1000,0.855,8767.13
6,1000,0.847,8767.13
7,1000,0.759,8815.54
8,1000,0.752,9133.65
9,1000,0.752,9133.65
10,1000,0.757,9133.65
11,1000,0.757,9133.65
12,1000,0.765,9133.65
13,1000,0.825,9133.65
14,1000,0.792,9133.65
15,1000,0.846,9533.8
20,1000,0.817,10323.58
25,1000,0.812,10323.58
1,10000,12.812,120456.25
5,10000,10.0,121506.19
6,10000,9.375,121506.19
7,10000,9.688,121506.19
8,10000,9.688,121506.19
9,10000,10.0,122511.64
10,10000,10.0,127059.36
11,10000,9.844,127059.36
12,10000,9.844,127059.36
13,10000,10.0,127059.36
14,10000,9.688,127059.36
15,10000,10.0,127059.36
20,10000,10.312,143507.49
25,10000,10.625,143507.49
1,100000,150.338,1536380.75
5,100000,132.601,1536801.73
6,100000,128.845,1554692.84
7,100000,129.466,1557941.32
8,100000,130.089,1557941.32
9,100000,127.992,1557941.32
10,100000,128.589,1557941.32
11,100000,128.479,1557941.32
12,100000,130.024,1619739.78
13,100000,129.878,1639409.17
14,100000,130.245,1639409.17
15,100000,130.119,1639409.17
20,100000,129.967,1639409.17
25,100000,140.962,1862152.88
1,1000000,2934.563,18674406.94
5,1000000,2783.624,18727695.66
6,1000000,2825.428,18727695.66
7,1000000,1831.2,18821102.82
8,1000000,1821.756,19072428.72
9,1000000,1836.782,19072428.72
10,1000000,1817.776,19072428.72
11,1000000,1820.232,19072428.72
12,1000000,1818.075,19072428.72
13,1000000,1823.841,19072428.72
14,1000000,1817.65,19072428.72
15,1000000,1842.662,19886545.78
20,1000000,1871.729,20222871.06
25,1000000,1872.552,20222871.06
1,10000000,26420.249,220100830.8
5,10000000,24657.653,221107857.6
6,10000000,24573.177,221107857.6
7,10000000,24584.604,221107857.6
8,10000000,24541.663,221107857.6
9,10000000,24542.548,223150786.7
10,10000000,24405.83,226419260.7
11,10000000,24391.294,226419260.7
12,10000000,24390.413,226419260.7
13,10000000,24431.474,226419260.7
14,10000000,24401.35,226419260.7
15,10000000,24377.499,226419260.7
20,10000000,25171.332,242322390.8
25,10000000,25117.772,242322390.8
