(n=2000, T=1000)
1: 2.484ms, 19412.59 key comps
2: 2.234ms, 19412.59 key comps
3: 2.141ms, 19412.42 key comps
5: 1.969ms, 19528.65 key comps
7: 1.984ms, 19620.51 key comps
8: 1.938ms, 20255.21 key comps
9: 1.969ms, 20255.21 key comps
10: 1.938ms, 20255.21 key comps
11: 1.953ms, 20255.21 key comps
12: 1.922ms, 20255.21 key comps (X)
13: 1.953ms, 20255.21 key comps
14: 1.953ms, 20255.21 key comps
15: 1.969ms, 21060.56 key comps

(n=20000, T=100)
1: 34.219ms, 260889.11 key comps
2: 57.500ms, 260889.11 key comps
3: 54.219ms, 260890.50 key comps
5: 31.250ms, 263004.33 key comps
7: 25.469ms, 263004.33 key comps (X)
8: 25.781ms, 263004.33 key comps
9: 25.781ms, 265009.14 key comps
10: 26.250ms, 274099.97 key comps
11: 26.094ms, 274099.97 key comps
12: 25.938ms, 274099.97 key comps
13: 26.250ms, 274099.97 key comps
14: 25.469ms, 274099.97 key comps (X)
15: 26.406ms, 274099.97 key comps (X)

(T=10, n=2e5)
1: 409.375ms, 3272660.40 key comps
2: 431.250ms, 3272660.40 key comps
3: 435.938ms, 3272654.80 key comps
5: 354.688ms, 3273508.60 key comps
7: 367.188ms, 3315919.60 key comps
8: 343.750ms, 3315919.60 key comps (X)
9: 348.438ms, 3315919.60 key comps
10: 343.750ms, 3315919.60 key comps (X)
11: 345.312ms, 3315919.60 key comps
12: 343.750ms, 3439510.40 key comps (X)
13: 350.000ms, 3479070.20 key comps
14: 343.750ms, 3479070.20 key comps (X)
15: 362.500ms, 3479070.20 key comps

(T=10, n=2^17)
5: 225.000ms, 2070762.10 key comps
6: 229.688ms, 2070762.10 key comps
7: 290.625ms, 2070762.10 key comps
8: 209.375ms, 2120580.80 key comps
9: 212.500ms, 2120580.80 key comps
10: 214.062ms, 2120580.80 key comps
11: 212.500ms, 2120580.80 key comps
12: 212.500ms, 2120580.80 key comps
13: 207.812ms, 2120580.80 key comps (X)
14: 212.500ms, 2120580.80 key comps
15: 212.500ms, 2120580.80 key comps

(T=40, n=2^15)
5: 46.094ms, 452119.00 key comps
6: 44.922ms, 452119.00 key comps
7: 44.922ms, 452119.00 key comps
8: 43.750ms, 464592.38 key comps (X)
9: 43.750ms, 464592.38 key comps (X)
10: 43.750ms, 464592.38 key comps (X)
11: 44.531ms, 464592.38 key comps
12: 44.141ms, 464592.38 key comps
13: 44.531ms, 464592.38 key comps
14: 44.922ms, 464592.38 key comps
15: 43.750ms, 464592.38 key comps (X)
